"date","mob.bus.uk","mob.full.uk","mob.bus.sa","mob.full.sa","mob.bus.br","mob.full.br"
2021-01-03,-50,-28.5,-21.3333333333333,-12,-13.3333333333333,-7.33333333333333
2021-01-04,-51.3333333333333,-27,-29.5,-11.75,-10.3333333333333,-3.5
2021-01-05,-54.6666666666667,-29.5,-31.1666666666667,-14.5,-10,-3.5
2021-01-06,-54.6666666666667,-29.3333333333333,-28.1666666666667,-11.6666666666667,-10.3333333333333,-3.83333333333333
2021-01-07,-54.6666666666667,-28.5,-31.8333333333333,-13.9166666666667,-9.33333333333333,-2.33333333333333
2021-01-08,-56,-30.75,-32.5,-16.8333333333333,-7.66666666666667,-1.83333333333333
2021-01-09,-53,-29.1666666666667,-24.8333333333333,-17.1666666666667,-7.33333333333333,-2.33333333333333
2021-01-10,-52.6666666666667,-30.3333333333333,-28.8333333333333,-18.0833333333333,-13,-6
2021-01-11,-53.3333333333333,-29,-32.6666666666667,-17.9166666666667,-9.33333333333333,-4.5
2021-01-12,-54,-27.8333333333333,-33.8333333333333,-20,-12.3333333333333,-7.33333333333333
2021-01-13,-56.3333333333333,-33.3333333333333,-36.1666666666667,-22.25,-14.3333333333333,-9.83333333333333
2021-01-14,-58,-34.3333333333333,-38.6666666666667,-24,-17.1666666666667,-11.5833333333333
2021-01-15,-56.3333333333333,-29.9166666666667,-39.1666666666667,-25.75,-18.6666666666667,-13.3333333333333
2021-01-16,-55.6666666666667,-34,-34.8333333333333,-25.25,-19,-13.5
2021-01-17,-51.3333333333333,-27.1666666666667,-37,-25,-22.3333333333333,-15.5
2021-01-18,-54,-28.75,-39.3333333333333,-25.0833333333333,-20.3333333333333,-14.8333333333333
2021-01-19,-56,-31.8333333333333,-38.1666666666667,-25.25,-20.1666666666667,-14.75
2021-01-20,-57.3333333333333,-35.1666666666667,-38.1666666666667,-24.5833333333333,-18.6666666666667,-12.9166666666667
2021-01-21,-55.3333333333333,-28.25,-37,-22.75,-17.6666666666667,-11.8333333333333
2021-01-22,-54.3333333333333,-26.5,-36.5,-23.0833333333333,-17,-11.8333333333333
2021-01-23,-52.3333333333333,-29,-30.3333333333333,-21.8333333333333,-16.6666666666667,-11.1666666666667
2021-01-24,-55.3333333333333,-32,-37.6666666666667,-25.4166666666667,-20,-13
2021-01-25,-54.3333333333333,-27.3333333333333,-34.5,-21.4166666666667,-17.6666666666667,-12.8333333333333
2021-01-26,-55.6666666666667,-32,-32,-20.0833333333333,-18.3333333333333,-13.5
2021-01-27,-53.6666666666667,-28.5,-31.5,-20.0833333333333,-18.1666666666667,-13.0833333333333
2021-01-28,-54.1666666666667,-28.4166666666667,-30.8333333333333,-18.1666666666667,-16.6666666666667,-11.6666666666667
2021-01-29,-53,-26.3333333333333,-26.8333333333333,-16.0833333333333,-14.6666666666667,-9.66666666666667
